id;start_date;end_date;language
1;2020-05-21T08:13:42;2020-05-21T06:03:57;SPANISH
2;2020-05-20T13:03:53;2020-05-21T08:08:18;SPANISH
3;2020-05-21T03:59:12;2020-05-20T14:33:21;FRENCH
4;2020-05-20T19:16:43;2020-05-21T06:48:09;FRENCH
5;2020-05-21T04:47:01;2020-05-21T09:34:00;FRENCH
6;2020-05-20T22:39:22;2020-05-21T10:47:36;FRENCH
7;2020-05-21T00:24:42;2020-05-20T18:15:33;FRENCH
8;2020-05-20T23:20:55;2020-05-21T09:37:03;SPANISH
9;2020-05-20T22:02:04;2020-05-20T18:43:27;SPANISH
10;2020-05-21T06:14:08;2020-05-20T16:48:38;SPANISH
